Cidade,Estado,ID,Latitude,Longitude,Amazonia,População,População com acesso à água,População sem acesso à água,População com coleta de esgoto,População sem coleta de esgoto,Parcela da população sem acesso à água,Parcela da população com acesso à água,Parcela da população sem coleta de esgoto,Parcela da população com coleta de esgoto,Densidade demográfica,Área do município,Receita direta e indireta total,Parcela das moradias sem banheiro,Incidência de internações por diarreia,Taxa de óbitos por doenças de veiculação hídrica,Consumo per capita de água,Perdas na distribuição,Índice de esgoto tratado referido à água consumida,Tarifa de água,Custo com energia elétrica,Incidência de internações totais por doenças de veiculação hídrica,Moradias sem banheiro
Pindoretama,Ceará,231085,-4.0265183,-38.3066829,Não,,,,,,,,,,,,,,,,,,,,,,
Quixadá,Ceará,231130,-4.9706021,-39.0158403,Não,,,,,,,,,,,,,,,,,,,,,,
Quixeramobim,Ceará,231140,-5.1983553,-39.2955573,Não,,,,,,,,,,,,,,,,,,,,,,
Russas,Ceará,231180,-4.9354279,-37.9783838,Não,,,,,,,,,,,,,,,,,,,,,,
São Gonçalo do Amarante,Ceará,231240,-3.6099755,-38.9687182,Não,,,,,,,,,,,,,,,,,,,,,,
Sobral,Ceará,231290,-3.6879135,-40.3456372,Não,,,,,,,,,,,,,,,,,,,,,,
Tauá,Ceará,231330,-6.0031372,-40.2947268,Não,,,,,,,,,,,,,,,,,,,,,,
Tianguá,Ceará,231340,-3.7307332,-41.0004019,Não,,,,,,,,,,,,,,,,,,,,,,
Trairi,Ceará,231350,-3.2777494,-39.2680677,Não,,,,,,,,,,,,,,,,,,,,,,
Viçosa do Ceará,Ceará,231410,-3.5667684,-41.091504,Não,,,,,,,,,,,,,,,,,,,,,,
Brasília,Distrito Federal,530010,-15.7939869,-47.8828,Não,,,,,,,,,,,,,,,,,,,,,,
Aracruz,Espírito Santo,320060,-19.8245218,-40.2735025,Não,,,,,,,,,,,,,,,,,,,,,,
Cachoeiro de Itapemirim,Espírito Santo,320120,-20.848084,-41.11129,Não,,,,,,,,,,,,,,,,,,,,,,
Cariacica,Espírito Santo,320130,-20.263202,-40.416549,Não,,,,,,,,,,,,,,,,,,,,,,
Colatina,Espírito Santo,320150,-19.5346732,-40.6287836,Não,,,,,,,,,,,,,,,,,,,,,,
