Cidade,Estado,ID,Latitude,Longitude,Amazonia
Igarapé-Miri,Pará,150330,-1.9785213,-48.9634826,Sim
Ipixuna do Pará,Pará,150345,-2.5592139,-47.4965462,Sim
Itaituba,Pará,150360,-4.2625218,-55.9878139,Sim
Itupiranga,Pará,150370,-5.1337224,-49.3321988,Sim
Jacundá,Pará,150380,-4.446173,-49.115272,Sim
Juruti,Pará,150390,-2.1571381,-56.0900977,Sim
Marabá,Pará,150420,-5.3462821,-49.1007401,Sim
Marituba,Pará,150442,-1.3595306,-48.3361504,Sim
Moju,Pará,150470,-1.889926,-48.766765,Sim
Monte Alegre,Pará,150480,-1.9989108,-54.0727694,Sim
Novo Repartimento,Pará,150506,-4.2519172,-49.9524257,Sim
Óbidos,Pará,150510,-1.901072,-55.520812,Sim
Oriximiná,Pará,150530,-1.7669992,-55.868285,Sim
Paragominas,Pará,150550,-2.99564,-47.3548942,Sim
Parauapebas,Pará,150553,-6.0696846,-49.8903283,Sim
Portel,Pará,150580,-1.9387118,-50.8240402,Sim
Redenção,Pará,150613,-8.0299327,-50.0309543,Sim
Rondon do Pará,Pará,150618,-4.7804416,-48.06983,Sim
Santa Bárbara do Pará,Pará,150635,-1.1921927,-48.2382715,Sim
Santa Izabel do Pará,Pará,150650,-1.2968557,-48.1605533,Sim
Santana do Araguaia,Pará,150670,-9.3348334,-50.3427734,Sim
Santarém,Pará,150680,-2.438489,-54.699611,Sim
São Félix do Xingu,Pará,150730,-6.6386974,-51.9787582,Sim
São Miguel do Guamá,Pará,150760,-1.6116804,-47.4757551,Sim
Tailândia,Pará,150795,-2.936096,-48.9523366,Sim
Tomé-Açu,Pará,150800,-2.4166306,-48.1522907,Sim
Tucuruí,Pará,150810,-3.766334,-49.6663654,Sim
Ulianópolis,Pará,150812,-3.7575266,-47.5009377,Sim
Vigia,Pará,150820,-0.8546027,-48.1432873,Sim
Viseu,Pará,150830,-1.204892,-46.1392244,Sim
Alhandra,Paraíba,250060,-7.4304246,-34.9106103,Não
Bayeux,Paraíba,250180,-7.1301631,-34.936532,Não
Caaporã,Paraíba,250300,-7.510234,-34.9154114,Não
Cabedelo,Paraíba,250320,-6.97324,-34.8351609,Não
Cajazeiras,Paraíba,250370,-6.8897849,-38.5570389,Não
Campina Grande,Paraíba,250400,-7.2246743,-35.8771292,Não
Conde,Paraíba,250460,-7.2600359,-34.9053524,Não
Cruz do Espírito Santo,Paraíba,250490,-7.139022,-35.085721,Não
Guarabira,Paraíba,250630,-6.8513982,-35.4915582,Não
João Pessoa,Paraíba,250750,-7.1215981,-34.882028,Não
Lucena,Paraíba,250860,-6.8984018,-34.8711915,Não
Mamanguape,Paraíba,250890,-6.833698,-35.121316,Não
Patos,Paraíba,251080,-7.0258285,-37.2766817,Não
Pedras de Fogo,Paraíba,251120,-7.3988977,-35.112176,Não
Pitimbu,Paraíba,251190,-7.4728063,-34.811233,Não
Rio Tinto,Paraíba,251290,-6.803828,-35.077569,Não
Santa Rita,Paraíba,251370,-7.128465,-34.9846186,Não
Sapé,Paraíba,251530,-7.093591,-35.227975,Não
Sousa,Paraíba,251620,-6.7662029,-38.2319607,Não
Adrianópolis,Paraná,410020,-24.6557863,-48.9912769,Não
Agudos do Sul,Paraná,410030,-25.9890808,-49.3328175,Não
Almirante Tamandaré,Paraná,410040,-25.3133048,-49.2997838,Não
Apucarana,Paraná,410140,-23.5525327,-51.4610764,Não
Arapongas,Paraná,410150,-23.4152862,-51.4293961,Não
Araucária,Paraná,410180,-25.5861107,-49.4051209,Não
Balsa Nova,Paraná,410230,-25.5842234,-49.6312741,Não
Bocaiúva do Sul,Paraná,410310,-25.206591,-49.114131,Não
Cambé,Paraná,410370,-23.2782035,-51.2779583,Não
Campina Grande do Sul,Paraná,410400,-25.3046032,-49.0545355,Não
Campo Largo,Paraná,410420,-25.4597726,-49.5270851,Não
Campo Magro,Paraná,410425,-25.3691533,-49.4496921,Não
Campo Mourão,Paraná,410430,-24.046329,-52.37802,Não
Cascavel,Paraná,410480,-24.9554996,-53.4560544,Não
Castro,Paraná,410490,-24.794072,-49.9972914,Não
